Business Name,CouponID,Cat,naicCode,naicDesc,endDate,couponUrl,weblink,thmImg,logoImg,street,city,zip,phone,coupon text,Expirtation,Terms
DREAM SWIRLS FROZEN YOGURT,1187968,108,722213AAG,SNACK & NONALCOHOLIC BEVERAGE BARS-YOGURT,2015-03-18,http://www.valpak.com/coupons/printable/DREAM-SWIRLS-FROZEN-YOGURT/71332?slugId=1187968&vpref=vpcomLX,http://www.dreamsweirls.com,http://www.valpak.com/img/slug/3173140941401.jpg,http://www.valpak.com/img/print/3173140941401.jpg,15570 W. Van Buren St Ste D-101,Goodyear,85338,(623)536-2191,Frozen Yogurt Coupon for 15% OFF Entire Purchase @ Dream Swirls!,2013-04-18,"[""Discount only Valid at Dream Swirls Frozen Yogurt located at: 15570 W. Van Buren Goodyear AZ 85338"", ""Not valid with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
ORIENTAL BUFFET,1168224,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2013-04-30,http://www.valpak.com/coupons/printable/ORIENTAL-BUFFET-WLAKE-PLEASA/66645?slugId=1168224&vpref=vpcomLX,,http://www.valpak.com/img/slug/vpcomSlug.gif,http://www.valpak.com/img/print/vpcomPrint.gif,10146 W LAKE PLEASANT PARKWAY STE 1030,Peoria,85382,(623)561-8900,Buffet Coupon- $1.00 OFF Lunch Buffet! (Per Person),2013-04-18,"[""Discount only valid at : Oriental Buffet located on 10146 W. Lake Pleasant Pkwy Ste 1030 Peoria, AZ 85382"", ""Not valid with any other coupon."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
AH-HAI SUSHI & GRILL,1171366,108,72211AAM,FULL-SVC RSTRNTS - JAPANESE,2014-01-31,http://www.valpak.com/coupons/printable/AH-HAI-SUSHI-GRILL/12252?slugId=1171366&vpref=vpcomLX,http://www.ah-haisushi.com,http://www.valpak.com/img/slug/3173132536201.jpg,http://www.valpak.com/img/print/3173132536201.jpg,"831 South Cotton Lane, Ste F100",Goodyear,85338,(623)932-3778,Sushi Coupon- $5 OFF $25  Or $10 OFF $50 @ Ah-Hai Sushi & Grill!,2013-04-18,"[""Before Tax."", ""With coupon only."", ""Not valid with any other offer."", ""Coupon void if altered.""]"
PAPA MURPHY'S,1089449,108,72211AAD,FULL-SVC RSTRNTS - PIZZA,2013-06-30,http://www.valpak.com/coupons/printable/PAPA-MURPHYS/42630?slugId=1089449&vpref=vpcomLX,http://www.papamurphys.com,http://www.valpak.com/img/slug/3177137501201.jpg,http://www.valpak.com/img/print/3177137501201.jpg,1020 E. RAY RD. STE. 1,Chandler,85225,(480)917-7474,2 Topping deLite Large Pizza $8 Family Size $2 More,2013-04-18,"[""Our Exclusive Crispy Thin Crust with 2 of your favorite toppings. For a limited time only. Limit 3. Valid at participating locations. Cannot be sold, transferred or duplicated."", ""Not valid with any other offer."", ""Coupon void if altered.""]"
Garcia's Mexican Restaurant,1192974,108,72211AAO,FULL-SVC RSTRNTS - MEXICAN,2013-12-31,http://www.valpak.com/coupons/printable/GARCIAS-MEXICAN-RESTAURANT-TE/59034?slugId=1192974&vpref=vpcomLX,http://www.garciasmexicanrestaurants.net,http://www.valpak.com/img/slug/3177139247701.jpg,http://www.valpak.com/img/print/3177139247701.jpg,1706 E WARNER ROAD,Tempe,85284,(480)838-1005,$5 OFF Any Order of $20 or More,2013-04-18,"[""At Warner/McClintock location only. Excludes alcohol, tax & tip. No cash refund."", ""One coupon per customer."", ""One coupon per party."", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
BIG GUYS SPORTS GRILL,1185766,108,72241AAB,DRINKING PLACES (ALCOHOLIC BEVERAGES) - PUBS,2013-12-31,http://www.valpak.com/coupons/printable/BIG-GUYS-SPORTS-GRILL/8572?slugId=1185766&vpref=vpcomLX,http://www.thebigguyssportsgrill.com,http://www.valpak.com/img/slug/3177130458401.jpg,http://www.valpak.com/img/print/3177130458401.jpg,4601 E. BELL RD,Phoenix,85032,(602)314-4189,$5 OFF Your Purchase of $25 or more,2013-04-18,"[""valid on regular menu & drink items only, before tax, dine in only, not valid on any other offers or our weekly specials."", ""Coupon void if altered.""]"
SHANGHAI BUFFET,1180494,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2014-03-31,http://www.valpak.com/coupons/printable/SHANGHAI-BUFFET/23415?slugId=1180494&vpref=vpcomLX,,http://www.valpak.com/img/slug/3173134914101.jpg,http://www.valpak.com/img/print/3173134914101.jpg,4201 West Bell Road,Phoenix,85053,(602)588-0303,Coupon for 15% OFF Entire Purchase (Lunch & Dinner),2013-04-18,"[""Drinks & taxes not included. Monday-Thursday ONLY. Discount is only valid at Shanghai Buffet"", ""Not valid with any other offer."", ""Not valid with any other coupon."", ""Coupon void if altered.""]"
92nd Street Cafe,979273,108,72211AAW,FULL-SVC RSTRNTS - STEAK,2013-12-31,http://www.valpak.com/coupons/printable/92nd-Street-Cafe/39011?slugId=979273&vpref=vpcomLX,,http://www.valpak.com/img/slug/3177131038501.jpg,http://www.valpak.com/img/print/3177131038501.jpg,9160 E. SHEA BLVD.,Scottsdale,85260,(480)860-4003,50% OFF,2013-04-18,"[""Buy Any Regular Priced Dinner, Get 1 of equal or lesser value 50% OFF. With 2 beverage purchases. Limit 1 per table. Valid only with cash. Not valid in bar area."", ""Not valid with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
COUSINS SUB SANDWICHES,1145824,108,722211AAJ,LIMITED-SVC RSTRNTS - SUBS,2013-06-30,http://www.valpak.com/coupons/printable/DONT-USE-THIS-BPP/61705?slugId=1145824&vpref=vpcomLX,http://www.cousinssubs.com,http://www.valpak.com/img/slug/3173139564601.jpg,http://www.valpak.com/img/print/3173139564601.jpg,5350 W Bell Rd,Glendale,85308,(602)942-0116,Coupon for FREE Sub With Purchase of Sub or Small Fries & Med. Drink!,2013-04-18,"[""Coupon for free 7-1/2 inch sub valid with purchase of 7-1/2 inch sub or small fries and medium drink. Free sub discount valid at 5350 W Bell Rd Cousins Subs location in Glendale AZ only."", ""Coupons may not be combined with any other offer."", ""Not valid with any other coupon."", ""With Valpak® coupon only."", ""Coupon valid at this location only."", ""Coupon void if altered.""]"
18 DEGREES,1090308,108,7221,FULL-SERVICE RESTAURANTS,2013-12-31,http://www.valpak.com/coupons/printable/18-DEGREES/42889?slugId=1090308&vpref=vpcomLX,http://www.18-degrees.com,http://www.valpak.com/img/slug/3177137533301.jpg,http://www.valpak.com/img/print/3177137533301.jpg,9375 EAST BELL ROAD,Scottsdale,85260,(480)334-2653,$5 OFF Purchase of $20 or more,2013-04-18,"[""One per person, per month. One coupon per table."", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
ROSATIS PIZZA,1046369,108,72211AAD,FULL-SVC RSTRNTS - PIZZA,2013-06-30,http://www.valpak.com/coupons/printable/ROSATIS-PIZZA/38992?slugId=1046369&vpref=vpcomLX,http://www.myrosatis.com,http://www.valpak.com/img/slug/3177135095701.jpg,http://www.valpak.com/img/print/3177135095701.jpg,2057 S. ALMA SCHOOL RD,Mesa,85210,(480)838-7448,"$2 OFF Any 14"" Pizza",2013-04-18,"[{}, ""Coupons may not be combined with any other offer."", ""Not valid with any other offer."", ""Must present coupon at time of order."", ""Coupon valid at this location only."", ""Coupon void if altered.""]"
HUMBLE PIE,1185730,108,72211AAD,FULL-SVC RSTRNTS - PIZZA,2013-12-31,http://www.valpak.com/coupons/printable/HUMBLE-PIE/38797?slugId=1185730&vpref=vpcomLX,,http://www.valpak.com/img/slug/3177131035001.jpg,http://www.valpak.com/img/print/3177131035001.jpg,21050 N. Tatum Blvd.,Phoenix,,(480)502-2121,FREE PIZZA!  WIth  a $20 Minimum Order.,2013-04-18,"[""Dine in only - Valid Sunday - Thursday only - This location only - One offer per table"", ""Not valid with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
CHINA PEARL,1187067,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2013-12-31,http://www.valpak.com/coupons/printable/CHINA-PEARL/36034?slugId=1187067&vpref=vpcomLX,,http://www.valpak.com/img/slug/3177131041701.jpg,http://www.valpak.com/img/print/3177131041701.jpg,3861 E. BASELINE RD. SUITE K-136,Gilbert,85234,(480)633-3980,15% OFF Total Bill,2013-04-18,"[""$20 Minimum. Not valid on delivery."", ""One coupon per party."", ""With coupon only."", ""Coupons may not be combined with any other offer."", ""Not valid on mobile site."", ""Coupon void if altered.""]"
BUNNAS COFFEE TEA & MARKET,1187899,108,722213AAI,SNACK & NONALCOHOLIC BEVERAGE BARS-COFFEE SHOP,2013-12-31,http://www.valpak.com/coupons/printable/BUNNAS-COFFEE-TEA-MARKET/39002?slugId=1187899&vpref=vpcomLX,http://www.bunnacoffee.com,http://www.valpak.com/img/slug/3177135113301.jpg,http://www.valpak.com/img/print/3177135113301.jpg,2235 S Power Rd Ste.116,Mesa,85209,(480)377-2886,FREE 16 oz. Drip Coffee,2013-04-18,"[{}, ""One coupon per customer."", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
CHEN & WOK,1138456,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2014-03-31,http://www.valpak.com/coupons/printable/CHEN-WOK/51212?slugId=1138456&vpref=vpcomLX,http://www.chenwoksurprise.com,http://www.valpak.com/img/slug/3173123074301.jpg,http://www.valpak.com/img/print/3173123074301.jpg,13856 W Waddell Rd,Surprise,85379,(623)556-9556,Chinese Food Coupon - FREE Egg Roll with $15 or More Purchase!,2013-04-18,"[""Coupon for free egg roll accepted at Chen & Wok in Surprise Arizona. Coupon valid with $15 or more Chinese food purchase only. Excludes other specials."", ""One coupon per customer."", ""With coupon only."", ""Not valid with any other coupon."", ""Coupon void if altered.""]"
CHINA CITY SUPER BUFFET,1170114,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2014-01-30,http://www.valpak.com/coupons/printable/CHINA-CITY-SUPER-BUFFET/44300?slugId=1170114&vpref=vpcomLX,http://www.chinacitymesa.com,http://www.valpak.com/img/slug/vpcomSlug.gif,http://www.valpak.com/img/print/vpcomPrint.gif,5301 W Indian School Rd,Phoenix,85031,(623)849-6688,Coupon for 15% OFF Any Chinese Buffet!,2013-04-18,"[""China City Super Buffet coupons available in Indian School Rd and McDowell Rd locations in Phoenix, AZ."", ""With coupon only."", ""Not valid with any other coupon."", ""Coupon void if altered.""]"
MANDARIN SUPER BUFFET,1151980,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2013-11-30,http://www.valpak.com/coupons/printable/MANDARIN-SUPER-BUFFET/29379?slugId=1151980&vpref=vpcomLX,,http://www.valpak.com/img/slug/3173139739001.jpg,http://www.valpak.com/img/print/3173139739001.jpg,1501 W BETHANY HOME RD,Phoenix,85015,(602)589-8888,Chinese Buffet Coupon-15% OFF Total Bill!,2013-04-18,"[""Dine in only. Offer Valid only at Mandarin Super Buffet located at: 1501 W. Bethany Home Rd Phoenix, AZ 5015"", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
FILIBERTO'S ON GUADALUPE,1185733,108,722211AAF,LIMITED-SVC RSTRNTS - MEXICAN,2013-12-31,http://www.valpak.com/coupons/printable/FILIBERTOS-ON-GUADALUPE/41222?slugId=1185733&vpref=vpcomLX,http://www.filibertos.com,http://www.valpak.com/img/slug/3177137299501.jpg,http://www.valpak.com/img/print/3177137299501.jpg,2853 S Sossaman Rd. Ste. A-108,Mesa,85212,(480)357-4927,$1 OFF Super Nachos,2013-04-18,"[{}, ""One coupon per customer."", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon valid at this location only."", ""Coupon void if altered.""]"
JACK IN THE BOX,1138767,108,722211AAMJBX,LIMITED-SVC RSTRNTS - HAMBURGERS - (JACK IN THE BOX),2014-02-28,http://www.valpak.com/coupons/printable/JACK-IN-THE-BOX/50926?slugId=1138767&vpref=vpcomLX,http://www.jackinthebox.com,http://www.valpak.com/img/slug/3173138778601.jpg,http://www.valpak.com/img/print/3173138778601.jpg,13610 N Scottsdale Rd,Scottsdale,85254,(480)443-8005,Coupon for FREE Burger at Jack In The Box!,2013-04-18,"[""Coupon for free Jack In The Box burger valid with purchase of large drink. Coupon Code 407. One coupon per visit. No duplicate coupons accepted."", ""One coupon per customer."", ""With coupon only."", ""Not valid with any other coupon."", ""Coupon valid at this location only."", ""Coupon void if altered.""]"
Swirl it Self-Serve Frozen Yogurt,979330,108,722213AAG,SNACK & NONALCOHOLIC BEVERAGE BARS-YOGURT,2013-06-30,http://www.valpak.com/coupons/printable/Swirl-it-Self-Serve-Frozen-Yog/36659?slugId=979330&vpref=vpcomLX,,http://www.valpak.com/img/slug/3177131045601.jpg,http://www.valpak.com/img/print/3177131045601.jpg,1397 E Williams Field Rd. Ste. 104,Gilbert,85295,(480)917-9475,$1 OFF when you spend $4 or more,2013-04-18,"[""Limit 1 per customer. Not valid during happy hour."", ""One coupon per customer."", ""Coupons may not be combined with any other offer."", ""Coupon void if altered.""]"
CHINA HARVEST BUFFET,1103697,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2013-05-15,http://www.valpak.com/coupons/printable/CHINA-HARVEST-BUFFET/53531?slugId=1103697&vpref=vpcomLX,,http://www.valpak.com/img/slug/3173138311801.jpg,http://www.valpak.com/img/print/3173138311801.jpg,12407 N 28th Dr,Phoenix,85029,(602)942-1505,$4.99 Chinese Lunch Buffet Coupon-Includes FREE Drink!,2013-04-18,"[""Coupon valid only at China Harvest Buffet in Phoenix, AZ. Coupon valid for 1 group (up to 5 adults). Dine-in only. Coupon not valid on holidays."", ""Not valid with any other coupon."", ""Coupon void if altered.""]"
FRANCISCO'S BRICK PIZZA & PITA'S,1166977,108,72211AAD,FULL-SVC RSTRNTS - PIZZA,2013-12-31,http://www.valpak.com/coupons/printable/FRANCISCOS-BRICK-PIZZA-PITA/66369?slugId=1166977&vpref=vpcomLX,http://www.bestpizzapita.com,http://www.valpak.com/img/slug/3177140145901.jpg,http://www.valpak.com/img/print/3177140145901.jpg,3765 S GILBERT RD,Gilbert,85297,(480)855-4448,$5 OFF Any Order of $20 or more,2013-04-18,"[{}, ""One coupon per party."", ""With coupon only."", ""Not valid with any other offer."", ""Coupon void if altered.""]"
MY BIG FAT GREEK RESTAURANT - CHANDLER,1185741,108,72211AAA,FULL-SVC RSTRNTS - GREEK FOOD PRODS,2013-12-31,http://www.valpak.com/coupons/printable/MY-BIG-FAT-GREEK-RESTAURANT--/24640?slugId=1185741&vpref=vpcomLX,http://www.mybigfatgreekrestaurant.net,http://www.valpak.com/img/slug/3177120946401.jpg,http://www.valpak.com/img/print/3177120946401.jpg,3305 W. CHANDLER BLVD,Chandler,85226,(480)726-3036,LUNCH SPECIAL! 20% OFF Your Entire Bill,2013-04-18,"[""(11am-3pm only)"", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon valid at this location only."", ""Coupon void if altered.""]"
MESA COMMUNITY RESTURANT,1187940,108,72211AAG,FULL-SVC RSTRNTS - FAMILY STYLE,2013-12-31,http://www.valpak.com/coupons/printable/MESA-COMMUNITY-RESTURANT/42428?slugId=1187940&vpref=vpcomLX,,http://www.valpak.com/img/slug/3177137470501.jpg,http://www.valpak.com/img/print/3177137470501.jpg,535 N Country Club Dr,Mesa,85201,(480)833-0128,Get Any Lunch or Dinner Entree At 1/2 Price,2013-04-18,"[""with the purchase of an entree of equal or lesser value"", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
SHANGRI-LA CHINESE CUISINE,1178493,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2014-03-31,http://www.valpak.com/coupons/printable/SHANGRI-LA-CHINESE-RESTAURANT/68883?slugId=1178493&vpref=vpcomLX,,http://www.valpak.com/img/slug/vpcomSlug.gif,http://www.valpak.com/img/print/vpcomPrint.gif,18561 N 59TH AVE,Glendale,85308,(602)439-8880,Coupon for 1/2 Price Entree at Shangri-la Chinese Cuisine!,2013-04-18,"[""Buy one Entree at Regular price receive second entree of equal or lesser  value HALF OFF! Discount only valid at Shangri-La Chinese Cuisine locate atL 18561 N. 59th Ave. Glendale AZ Come in today!"", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
#1 BROTHERS PIZZA,1142630,108,72211AAD,FULL-SVC RSTRNTS - PIZZA,2013-10-15,http://www.valpak.com/coupons/printable/1-BROTHERS-PIZZA/60985?slugId=1142630&vpref=vpcomLX,http://www.original1brospizza.com,http://www.valpak.com/img/slug/3173139480301.jpg,http://www.valpak.com/img/print/3173139480301.jpg,7440 W Cactus Rd,Peoria,85381,(623)486-4111,Everyday Pizza Special- Large Cheese Pizza and 20 Wings $21.99!,2013-04-18,"[""(Plus Tax). Everyday pizza special includes large 17\"" cheese pizza plus 20 wings. Plus FREE 2 liter soda with take-out. Coupon accepted only #1 Brothers Pizza Cactus Rd Peoria AZ."", ""With coupon only."", ""Coupon void if altered.""]"
LAS FUENTES MEXICAN GRILL,1177773,108,72211AAO,FULL-SVC RSTRNTS - MEXICAN,2014-02-28,http://www.valpak.com/coupons/printable/LAS-FUENTES-MEXICAN-GRILL/37504?slugId=1177773&vpref=vpcomLX,http://www.lasfuentesmexicangrill.com,http://www.valpak.com/img/slug/3173136801701.jpg,http://www.valpak.com/img/print/3173136801701.jpg,13621 N Litchfield Rd,Surprise,85379,(623)214-9256,Coupon for 1/2 Price Lunch at Las Fuentes Mexican Grill!,2013-04-18,"[""Buy 1 Lunch Entree and 2 Drinks and Get the 2nd of Equal or Lesser Value at 1/2 Price! Mon-Fri ONLY. No Cash Value."", ""One coupon per party."", ""With coupon only."", ""Coupons may not be combined with any other offer."", ""Coupon void if altered.""]"
CACTUS MOON,1186134,108,722,FOODSERVICES & DRINKING PLACES,2013-12-31,http://www.valpak.com/coupons/printable/CACTUS-MOON/24294?slugId=1186134&vpref=vpcomLX,http://www.cactusmoonmesa.com,http://www.valpak.com/img/slug/3177135051401.jpg,http://www.valpak.com/img/print/3177135051401.jpg,1017 N. DOBSON RD,Mesa,85201,(480)833-2226,$5 OFF Any Purchase of $20 or more,2013-04-18,"[{}, ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
HIBACHI GRILL,1180382,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2014-04-30,http://www.valpak.com/coupons/printable/HIBACHI-GRILL/23414?slugId=1180382&vpref=vpcomLX,,http://www.valpak.com/img/slug/3173134914001.jpg,http://www.valpak.com/img/print/3173134914001.jpg,"2929 North 75th Ave, Ste 17",Phoenix,85033,(623)849-3333,Coupon for $1 OFF Adult Buffet!,2013-04-18,"[""Coupon only Valid at Hibachi Grill located on 75th ave."", ""With coupon only."", ""Not valid with any other offer."", ""Coupon void if altered.""]"
CANDY CORRAL,1111049,108,4452BBB,SPECIALTY FOOD STORES - PREPARED FOODS,2013-12-31,http://www.valpak.com/coupons/printable/CANDY-CORRAL/53567?slugId=1111049&vpref=vpcomLX,,http://www.valpak.com/img/slug/3175137010801.jpg,http://www.valpak.com/img/print/3175137010801.jpg,3902 N. Brown Ave,Scottsdale,85251,(480)946-3170,$5 OFF Any Purchase of $25 or more,2013-04-18,"[{}, ""Not valid with any other offer."", ""With Valpak® coupon only."", ""Must present coupon at time of purchase."", ""Coupon void if altered.""]"
JP PANCAKE,979247,108,72211AAF,FULL-SVC RSTRNTS - BREAKFAST,2013-09-30,http://www.valpak.com/coupons/printable/JP-PANCAKE/38469?slugId=979247&vpref=vpcomLX,,http://www.valpak.com/img/slug/3177131034301.jpg,http://www.valpak.com/img/print/3177131034301.jpg,3641 E Baseline Rd,Gilbert,85234,(480)539-4435,15% OFF Total Bill (Mon-Fri only),2013-04-18,"[{}, ""One coupon per party."", ""Not valid with any other offer."", ""Coupon void if altered.""]"
NEW CHINA BUFFET,1171998,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2014-01-31,http://www.valpak.com/coupons/printable/NEW-CHINA-BUFFET/26736?slugId=1171998&vpref=vpcomLX,,http://www.valpak.com/img/slug/3173135364901.jpg,http://www.valpak.com/img/print/3173135364901.jpg,10801 Grand Ave,Sun City,85351,(623)875-6636,15% OFF Entire Purchase at New China Buffet! Click Here for Details.,2013-04-18,"[""Excludes Drinks and Taxes. Discount only valid at this New China Buffet."", ""With coupon only."", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
TWISTED CULTURES,1164666,108,722213AAG,SNACK & NONALCOHOLIC BEVERAGE BARS-YOGURT,2013-04-30,http://www.valpak.com/coupons/printable/TWISTED-CULTURES/65786?slugId=1164666&vpref=vpcomLX,http://www.twistedcultures.com,http://www.valpak.com/img/slug/3173140074601.jpg,http://www.valpak.com/img/print/3173140074601.jpg,9240 W. NORTHERN AVE,Glendale,85305,(623)877-8866,"Yogurt Coupon- Buy one Yogurt, get one 50% OFF!",2013-04-18,"[""Equal or lesser value.Coupon only accepted at: Twisted Cultures Yogurt Bar located at 9240 West Northern Avenue Glendale, AZ 85305 Come in today!"", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
"TED'S HOT DOGS OF TEMPE, ARIZONA",1179714,108,722211AAK,LIMITED-SVC RSTRNTS - MISC LIMITED-SVC RSTRNTS,2013-12-31,http://www.valpak.com/coupons/printable/TEDS-HOT-DOGS-OF-TEMPE-ARIZO/69265?slugId=1179714&vpref=vpcomLX,http://www.tedsonline.com,http://www.valpak.com/img/slug/3403133296301.jpg,http://www.valpak.com/img/print/3403133296301.jpg,1755 E Broadway Rd,Tempe,85282,(716)691-3731,Hot Dog Coupon-BOGO Ted's Hot Dogs.,2013-04-18,"[""LIMIT ONE REGULAR SIZE HOT DOG PER COUPON."", ""Good at participating locations."", ""One coupon per customer."", ""One coupon per party."", ""With coupon only."", ""Coupons may not be combined with any other offer."", ""Not valid with any other offer."", ""Not valid with any other coupon."", ""With Valpak® coupon only."", ""Must present coupon at time of order."", ""Coupon void if altered.""]"
MR. GOODCENTS,1178961,108,722211AAJ,LIMITED-SVC RSTRNTS - SUBS,2013-12-31,http://www.valpak.com/coupons/printable/MR-GOODCENTS/69108?slugId=1178961&vpref=vpcomLX,http://www.goodcentssubs.com,http://www.valpak.com/img/slug/3173140551001.jpg,http://www.valpak.com/img/print/3173140551001.jpg,16572 W. Greenway Rd,Suprise,85388,(623)243-7827,Coupon for a FREE Half Sub at Goodcents Deli Fresh Subs!,2013-04-18,"[""With the Purchase half sub of equal or greater value and a regular drink. Discount only valid at Goodcents deli fresh subs located at 16572 W. Greenway Rd Surprisen AZ"", ""Coupon void if altered.""]"
ANAYA'S,1159209,108,72211AAO,FULL-SVC RSTRNTS - MEXICAN,2014-03-31,http://www.valpak.com/coupons/printable/ANAYAS/64637?slugId=1159209&vpref=vpcomLX,http://anayasfreshmexicanrestaurant.com/,http://www.valpak.com/img/slug/3173139920101.jpg,http://www.valpak.com/img/print/3173139920101.jpg,9240 N 43RD AVE,Glendale,85302,(623)243-2504,Coupon for Anaya's Fresh Mexican Restaurant- 50% OFF!,2013-04-18,"[""Buy One Entree (Breakfast, Lunch or Dinner) Get one of Equal or Lesser Value Half off. With purchase of 2 beverages. Discount Valid only at: Anaya's located 9240 N. 43rd Ave. Glendale, AZ 85302"", ""One coupon per party."", ""Not valid with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
RED DEVIL ITALIAN & PIZZA RESTAURANT,1186072,108,72211AAD,FULL-SVC RSTRNTS - PIZZA,2014-03-30,http://www.valpak.com/coupons/printable/RED-DEVIL-ITALIAN-RESTAURANT/46788?slugId=1186072&vpref=vpcomLX,http://www.reddevilrestaurant.com,http://www.valpak.com/img/slug/3173136523801.jpg,http://www.valpak.com/img/print/3173136523801.jpg,3004 E Bell Rd,Phoenix,85032,(602)493-0009,Italian Restaurant Catering Coupon!,2013-04-18,"[""Includes 1 full pan lasagna, 1 full pan garden salad & 24 Italian rolls for $126.99 in Phoenix AZ. Plates, napkins, plastic wear, butter & 2 salad dressings included. Delivery fee & tax not included."", ""One coupon per party."", ""With coupon only."", ""Not valid with any other coupon."", ""Must present coupon at time of order."", ""Coupon void if altered.""]"
#1 BROTHERS PIZZA (HAPPY VALLEY RD),1173499,108,72211AAD,FULL-SVC RSTRNTS - PIZZA,2014-02-28,http://www.valpak.com/coupons/printable/1-BROTHERS-PIZZA-HAPPY-VALLE/67872?slugId=1173499&vpref=vpcomLX,http://www.onebrotherspizza.com/onebrotherspizza.com/Main.html,http://www.valpak.com/img/slug/vpcomSlug.gif,http://www.valpak.com/img/print/vpcomPrint.gif,9815 W HAPPY VALLEY RD,Peoria,85383,(623)572-5577,Pizza Restaurant Coupon- FREE Dinner Salad or Small Appetizer!,2013-04-18,"[""(With Purchase of Daily Special). Excludes Wings. Discount only valid at #1 Brothers Pizza Located: 9815 W Happy Valley Rd Peoria, AZ"", ""One coupon per customer."", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
